CustomerID,Age,Gender,Income,Category,Spending,TransactionDate
1,56,Male,59753,Clothing,667.58,2023-02-15
2,69,Male,77825,Groceries,882.87,2023-07-12
3,46,Male,97903,Groceries,815.98,2023-02-27
4,32,Female,52036,Healthcare,688.28,2023-04-21
5,60,Male,52658,Electronics,119.33,2023-05-09
6,25,Male,75662,Travel,296.3,2023-12-03
7,38,Male,70228,Travel,316.71,2023-07-13
8,56,Female,87700,Groceries,257.46,2023-12-06
9,36,Female,68758,Travel,519.86,2023-11-22
10,40,Male,54610,Groceries,540.2,2023-01-08
11,28,Male,68859,Healthcare,363.32,2023-01-29
12,28,Male,76630,Electronics,360.25,2023-04-22
13,41,Male,72307,Healthcare,830.27,2023-06-10
14,53,Female,67609,Clothing,791.4,2023-05-11
15,57,Female,76000,Clothing,314.72,2023-07-07
16,41,Female,77539,Clothing,914.65,2023-06-12
17,20,Female,80732,Healthcare,953.29,2023-07-16
18,39,Male,69730,Travel,333.48,2023-12-30
19,19,Male,57493,Electronics,360.88,2023-07-23
20,41,Male,62200,Clothing,510.58,2023-07-31
21,61,Female,78097,Clothing,941.71,2023-04-19
22,47,Male,47745,Clothing,877.56,2023-10-03
23,55,Female,65530,Electronics,111.54,2023-03-14
24,19,Female,54099,Clothing,398.8,2023-06-16
25,38,Male,60431,Electronics,557.84,2023-09-17
26,50,Male,79176,Clothing,508.1,2023-08-31
27,29,Male,62866,Healthcare,201.92,2023-10-02
28,39,Female,60696,Healthcare,860.23,2023-04-12
29,61,Male,39602,Electronics,680.17,2023-06-22
30,42,Female,71193,Healthcare,839.53,2023-06-20
31,66,Male,69682,Electronics,860.18,2023-05-21
32,44,Female,92448,Healthcare,750.87,2023-07-07
33,59,Female,55383,Healthcare,444.82,2023-03-27
34,45,Male,63287,Electronics,614.44,2023-02-21
35,33,Female,63740,Travel,168.76,2023-04-21
36,32,Female,83661,Healthcare,676.91,2023-12-31
37,64,Male,58570,Clothing,187.46,2023-12-08
38,68,Female,64185,Travel,697.01,2023-02-12
39,61,Male,69118,Electronics,237.3,2023-07-30
40,69,Female,62799,Travel,126.38,2023-07-19
41,20,Male,53303,Groceries,173.63,2023-10-25
42,54,Male,62911,Groceries,11.97,2023-12-12
43,68,Female,76104,Healthcare,721.55,2023-08-28
44,24,Female,44602,Healthcare,735.08,2023-04-25
45,38,Female,61994,Clothing,519.78,2023-01-26
46,26,Female,49498,Travel,169.75,2023-10-26
47,56,Female,77925,Groceries,92.72,2023-03-18
48,35,Male,37152,Healthcare,28.94,2023-05-17
49,21,Female,51616,Travel,174.09,2023-01-20
50,42,Male,65658,Healthcare,891.95,2023-07-30
51,31,Male,83482,Healthcare,249.12,2023-08-28
52,67,Female,59013,Groceries,360.73,2023-02-08
53,26,Male,51672,Groceries,114.29,2023-09-25
54,43,Male,88217,Healthcare,230.14,2023-07-26
55,19,Male,38279,Electronics,524.03,2023-09-24
56,37,Male,27017,Healthcare,611.68,2023-06-03
57,45,Female,66600,Healthcare,252.9,2023-02-11
58,64,Male,52469,Clothing,67.15,2023-01-11
59,24,Female,44681,Clothing,397.12,2023-10-21
60,61,Female,70625,Clothing,241.86,2023-04-08
61,25,Male,63657,Electronics,227.36,2023-10-02
62,64,Female,51538,Electronics,960.26,2023-08-18
63,52,Female,40795,Healthcare,620.14,2023-08-08
64,31,Female,73086,Clothing,561.31,2023-03-06
65,34,Male,69753,Electronics,421.62,2023-12-21
66,53,Female,58512,Groceries,434.65,2023-08-20
67,67,Female,87699,Healthcare,545.5,2023-11-24
68,57,Female,43948,Travel,699.47,2023-02-21
69,21,Male,37117,Healthcare,705.12,2023-09-20
70,19,Female,49621,Travel,179.98,2023-09-24
71,23,Male,59316,Clothing,505.11,2023-12-25
72,59,Male,63650,Travel,417.84,2023-11-13
73,21,Male,56381,Clothing,871.82,2023-11-20
74,46,Male,65280,Groceries,635.1,2023-06-03
75,35,Male,41226,Travel,537.18,2023-12-24
76,43,Male,81656,Healthcare,124.24,2023-05-20
77,61,Female,58767,Clothing,609.58,2023-02-20
78,51,Male,76759,Healthcare,126.03,2023-04-27
79,27,Female,65140,Electronics,343.83,2023-02-15
80,53,Female,66851,Clothing,151.41,2023-11-05
81,31,Male,68546,Travel,695.15,2023-03-29
82,48,Female,66715,Clothing,214.19,2023-07-27
83,65,Female,69640,Healthcare,397.94,2023-09-26
84,32,Female,79937,Groceries,896.72,2023-03-30
85,25,Female,62947,Clothing,212.27,2023-04-28
86,31,Male,70635,Travel,512.73,2023-02-23
87,40,Female,58653,Electronics,425.08,2023-04-26
88,57,Male,81601,Groceries,27.94,2023-04-28
89,38,Female,49854,Electronics,794.83,2023-09-17
90,33,Female,87014,Clothing,78.36,2023-03-16
91,62,Male,59397,Healthcare,479.51,2023-11-01
92,35,Female,38538,Healthcare,565.07,2023-01-07
93,64,Female,61921,Travel,632.14,2023-05-02
94,41,Female,49784,Healthcare,691.75,2023-01-11
95,43,Male,72609,Groceries,260.74,2023-12-14
96,42,Female,50210,Healthcare,19.88,2023-08-03
97,62,Male,53307,Travel,726.21,2023-10-06
98,58,Female,31656,Clothing,540.3,2023-01-28
99,46,Male,53215,Clothing,837.76,2023-08-23
100,32,Male,23641,Healthcare,823.17,2023-11-09
101,62,Female,36241,Electronics,844.89,2023-01-26
102,18,Female,71406,Clothing,490.24,2023-02-23
103,42,Male,71787,Healthcare,340.29,2023-01-29
104,24,Male,66381,Travel,793.64,2023-12-19
105,26,Female,45495,Healthcare,456.78,2023-06-13
106,41,Male,59284,Clothing,191.61,2023-09-27
107,18,Female,59945,Travel,856.42,2023-11-30
108,61,Female,42624,Healthcare,883.73,2023-02-04
109,25,Female,82550,Groceries,471.65,2023-10-13
110,41,Female,73160,Travel,84.94,2023-12-14
111,28,Male,56685,Groceries,393.95,2023-09-30
112,68,Female,60403,Electronics,805.5,2023-07-27
113,34,Male,63125,Travel,902.76,2023-08-26
114,25,Female,29373,Groceries,211.44,2023-04-03
115,52,Male,56292,Clothing,76.3,2023-06-22
116,52,Female,49770,Clothing,878.58,2023-03-20
117,50,Male,44975,Electronics,395.51,2023-04-20
118,22,Male,55783,Travel,546.34,2023-08-05
119,59,Female,86965,Travel,968.39,2023-12-24
120,56,Female,69612,Travel,75.9,2023-04-16
121,58,Female,51432,Electronics,651.83,2023-02-16
122,45,Female,68588,Travel,83.36,2023-06-30
123,24,Male,80990,Clothing,381.71,2023-03-05
124,26,Female,73869,Groceries,805.78,2023-09-03
125,25,Male,60894,Clothing,439.14,2023-09-01
126,29,Male,50295,Clothing,997.21,2023-11-16
127,51,Female,70473,Groceries,563.47,2023-03-28
128,50,Male,65902,Clothing,327.95,2023-08-05
129,65,Male,73427,Electronics,227.91,2023-01-07
130,40,Male,69527,Groceries,357.02,2023-10-05
131,41,Male,75743,Clothing,378.81,2023-12-03
132,54,Female,51971,Healthcare,78.03,2023-07-29
133,52,Female,79760,Clothing,375.88,2023-06-18
134,61,Female,62963,Electronics,469.6,2023-11-26
135,57,Female,91128,Travel,725.51,2023-05-18
136,39,Male,49662,Clothing,660.16,2023-11-02
137,44,Male,86039,Travel,711.68,2023-08-18
138,52,Female,62968,Healthcare,18.28,2023-11-04
139,18,Female,50228,Clothing,225.49,2023-06-10
140,52,Female,52741,Groceries,665.07,2023-01-01
141,54,Male,55194,Travel,489.15,2023-08-24
142,64,Female,66362,Healthcare,15.26,2023-07-07
143,31,Female,67842,Groceries,806.45,2023-01-04
144,20,Female,51394,Groceries,775.08,2023-05-12
145,18,Male,59634,Groceries,552.93,2023-08-06
146,22,Male,92134,Groceries,75.8,2023-09-17
147,43,Male,85913,Clothing,768.85,2023-01-01
148,31,Male,66544,Clothing,587.88,2023-03-12
149,56,Male,60570,Clothing,784.14,2023-06-27
150,44,Male,61800,Healthcare,754.23,2023-07-08
151,26,Male,69202,Healthcare,804.97,2023-10-18
152,32,Male,44658,Healthcare,522.83,2023-01-08
153,32,Female,56139,Electronics,148.92,2023-09-10
154,43,Female,34971,Healthcare,674.45,2023-10-19
155,59,Male,65988,Clothing,624.27,2023-09-01
156,30,Male,69707,Clothing,744.83,2023-05-03
157,68,Female,52752,Electronics,178.18,2023-10-26
158,49,Male,83609,Electronics,203.03,2023-10-10
159,56,Male,41613,Healthcare,891.51,2023-02-01
160,66,Male,38034,Travel,752.48,2023-11-30
161,69,Female,63366,Electronics,909.15,2023-05-26
162,49,Female,75706,Groceries,761.13,2023-06-05
163,21,Female,85258,Clothing,601.18,2023-01-16
164,47,Female,53116,Groceries,657.59,2023-12-21
165,54,Female,76180,Clothing,890.24,2023-02-16
166,40,Male,59422,Clothing,583.02,2023-09-08
167,56,Female,57410,Electronics,636.07,2023-07-06
168,62,Male,73254,Electronics,164.91,2023-01-31
169,32,Male,69784,Groceries,479.18,2023-09-17
170,60,Female,36354,Clothing,719.23,2023-01-17
171,46,Female,82148,Groceries,278.23,2023-02-08
172,53,Male,80701,Travel,210.23,2023-10-31
173,30,Male,50616,Groceries,320.69,2023-02-08
174,49,Male,65937,Healthcare,249.09,2023-05-12
175,24,Female,67410,Groceries,222.76,2023-01-30
176,68,Female,63910,Healthcare,430.6,2023-06-07
177,39,Female,51745,Healthcare,908.76,2023-10-05
178,45,Female,49925,Healthcare,511.99,2023-07-22
179,19,Female,59616,Travel,196.04,2023-03-07
180,59,Male,77590,Groceries,86.2,2023-04-18
181,62,Female,68154,Groceries,699.19,2023-09-25
182,23,Male,54440,Travel,388.97,2023-08-10
183,45,Male,71575,Clothing,823.61,2023-10-19
184,45,Male,17271,Electronics,662.92,2023-01-18
185,61,Female,77231,Groceries,798.28,2023-03-31
186,61,Female,33904,Electronics,279.23,2023-06-30
187,37,Female,54563,Travel,695.44,2023-09-12
188,47,Male,43204,Clothing,271.42,2023-09-10
189,28,Male,40579,Clothing,939.68,2023-09-14
190,45,Male,77412,Clothing,640.01,2023-12-12
191,42,Male,52984,Travel,331.27,2023-03-28
192,56,Male,65197,Healthcare,276.82,2023-03-31
193,50,Male,59296,Healthcare,199.02,2023-08-25
194,18,Female,67155,Electronics,697.69,2023-03-11
195,44,Female,61152,Healthcare,226.53,2023-02-13
196,69,Female,40755,Healthcare,599.35,2023-07-19
197,30,Female,74944,Clothing,271.99,2023-06-01
198,58,Male,52593,Clothing,665.35,2023-03-27
