CustomerID,Age,Gender,Income,Category,Spending,TransactionDate
1,56,Male,59753,Clothing,667.58,2023-02-15
2,69,Male,77825,Groceries,882.87,2023-07-12
3,46,Male,97903,Groceries,815.98,2023-02-27
4,32,Female,52036,Healthcare,688.28,2023-04-21
5,60,Male,52658,Electronics,119.33,2023-05-09
6,25,Male,75662,Travel,296.3,2023-12-03
7,38,Male,70228,Travel,316.71,2023-07-13
8,56,Female,87700,Groceries,257.46,2023-12-06
9,36,Female,68758,Travel,519.86,2023-11-22
10,40,Male,54610,Groceries,540.2,2023-01-08
11,28,Male,68859,Healthcare,363.32,2023-01-29
12,28,Male,76630,Electronics,360.25,2023-04-22
13,41,Male,72307,Healthcare,830.27,2023-06-10
14,53,Female,67609,Clothing,791.4,2023-05-11
15,57,Female,76000,Clothing,314.72,2023-07-07
16,41,Female,77539,Clothing,914.65,2023-06-12
17,20,Female,80732,Healthcare,953.29,2023-07-16
18,39,Male,69730,Travel,333.48,2023-12-30
19,19,Male,57493,Electronics,360.88,2023-07-23
20,41,Male,62200,Clothing,510.58,2023-07-31
21,61,Female,78097,Clothing,941.71,2023-04-19
22,47,Male,47745,Clothing,877.56,2023-10-03
23,55,Female,65530,Electronics,111.54,2023-03-14
24,19,Female,54099,Clothing,398.8,2023-06-16
25,38,Male,60431,Electronics,557.84,2023-09-17
26,50,Male,79176,Clothing,508.1,2023-08-31
27,29,Male,62866,Healthcare,201.92,2023-10-02
28,39,Female,60696,Healthcare,860.23,2023-04-12
29,61,Male,39602,Electronics,680.17,2023-06-22
30,42,Female,71193,Healthcare,839.53,2023-06-20
31,66,Male,69682,Electronics,860.18,2023-05-21
32,44,Female,92448,Healthcare,750.87,2023-07-07
33,59,Female,55383,Healthcare,444.82,2023-03-27
34,45,Male,63287,Electronics,614.44,2023-02-21
35,33,Female,63740,Travel,168.76,2023-04-21
36,32,Female,83661,Healthcare,676.91,2023-12-31
37,64,Male,58570,Clothing,187.46,2023-12-08
38,68,Female,64185,Travel,697.01,2023-02-12
39,61,Male,69118,Electronics,237.3,2023-07-30
40,69,Female,62799,Travel,126.38,2023-07-19
41,20,Male,53303,Groceries,173.63,2023-10-25
42,54,Male,62911,Groceries,11.97,2023-12-12
43,68,Female,76104,Healthcare,721.55,2023-08-28
44,24,Female,44602,Healthcare,735.08,2023-04-25
45,38,Female,61994,Clothing,519.78,2023-01-26
46,26,Female,49498,Travel,169.75,2023-10-26
47,56,Female,77925,Groceries,92.72,2023-03-18
48,35,Male,37152,Healthcare,28.94,2023-05-17
49,21,Female,51616,Travel,174.09,2023-01-20
50,42,Male,65658,Healthcare,891.95,2023-07-30
51,31,Male,83482,Healthcare,249.12,2023-08-28
52,67,Female,59013,Groceries,360.73,2023-02-08
53,26,Male,51672,Groceries,114.29,2023-09-25
54,43,Male,88217,Healthcare,230.14,2023-07-26
55,19,Male,38279,Electronics,524.03,2023-09-24
56,37,Male,27017,Healthcare,611.68,2023-06-03
57,45,Female,66600,Healthcare,252.9,2023-02-11
58,64,Male,52469,Clothing,67.15,2023-01-11
59,24,Female,44681,Clothing,397.12,2023-10-21
60,61,Female,70625,Clothing,241.86,2023-04-08
61,25,Male,63657,Electronics,227.36,2023-10-02
62,64,Female,51538,Electronics,960.26,2023-08-18
63,52,Female,40795,Healthcare,620.14,2023-08-08
64,31,Female,73086,Clothing,561.31,2023-03-06
65,34,Male,69753,Electronics,421.62,2023-12-21
66,53,Female,58512,Groceries,434.65,2023-08-20
67,67,Female,87699,Healthcare,545.5,2023-11-24
68,57,Female,43948,Travel,699.47,2023-02-21
69,21,Male,37117,Healthcare,705.12,2023-09-20
70,19,Female,49621,Travel,179.98,2023-09-24
71,23,Male,59316,Clothing,505.11,2023-12-25
72,59,Male,63650,Travel,417.84,2023-11-13
73,21,Male,56381,Clothing,871.82,2023-11-20
74,46,Male,65280,Groceries,635.1,2023-06-03
75,35,Male,41226,Travel,537.18,2023-12-24
76,43,Male,81656,Healthcare,124.24,2023-05-20
77,61,Female,58767,Clothing,609.58,2023-02-20
78,51,Male,76759,Healthcare,126.03,2023-04-27
79,27,Female,65140,Electronics,343.83,2023-02-15
80,53,Female,66851,Clothing,151.41,2023-11-05
81,31,Male,68546,Travel,695.15,2023-03-29
82,48,Female,66715,Clothing,214.19,2023-07-27
83,65,Female,69640,Healthcare,397.94,2023-09-26
84,32,Female,79937,Groceries,896.72,2023-03-30
85,25,Female,62947,Clothing,212.27,2023-04-28
86,31,Male,70635,Travel,512.73,2023-02-23
87,40,Female,58653,Electronics,425.08,2023-04-26
88,57,Male,81601,Groceries,27.94,2023-04-28
89,38,Female,49854,Electronics,794.83,2023-09-17
90,33,Female,87014,Clothing,78.36,2023-03-16
91,62,Male,59397,Healthcare,479.51,2023-11-01
92,35,Female,38538,Healthcare,565.07,2023-01-07
93,64,Female,61921,Travel,632.14,2023-05-02
94,41,Female,49784,Healthcare,691.75,2023-01-11
95,43,Male,72609,Groceries,260.74,2023-12-14
96,42,Female,50210,Healthcare,19.88,2023-08-03
97,62,Male,53307,Travel,726.21,2023-10-06
98,58,Female,31656,Clothing,540.3,2023-01-28
99,46,Male,53215,Clothing,837.76,2023-08-23
100,32,Male,23641,Healthcare,823.17,2023-11-09
